sample,specimen,species,clade,state,county,locality,site,BIO15,dist,lat,long,monticola,cheaha
RAP1198,RAP1198_monticola_B,monticola,monticola_B,WV,Summers,Crooked Run tributary,site59,15.15910625,462.3332903,37.473043,-80.866447,0.9999,0.0001
RAP1199,RAP1199_monticola_B,monticola,monticola_B,WV,Monroe,South Fork Potts Creek trib. (main),site60,12.18484116,486.0416706,37.455148,-80.476427,0.9999,0.0001
RAP1203,RAP1203_monticola_B,monticola,monticola_B,NC,McDowell,Curtis Creek,site61,10.19129372,243.4278104,35.683936,-82.202089,0.9999,0.0001
RAP1258,RAP1258_monticola_B,monticola,monticola_B,NC,Graham,Beach Creek,site63,13.75250053,114.0855884,35.420774,-83.950274,0.9999,0.0001
RAP1277,RAP1277_monticola_B,monticola,monticola_B,NC,Macon,Gibby Branch,site64,11.27964211,102.2993032,35.175288,-83.707071,0.9999,0.0001
RAP1283,RAP1283_monticola_B,monticola,monticola_B,NC,Macon,Wayah Bald,site65,9.902853966,109.3259717,35.169575,-83.585778,0.994272,0.005728
RAP1298,RAP1298_monticola_B,monticola,monticola_A,GA,Union,Coopers Creek,site66,12.56343365,49.28338207,34.75275,-84.01403,0.931946,0.068054
RAP1326,RAP1326_monticola_B,monticola,monticola_A,GA,Lumpkin,Pruitt Creek,site67,13.13746262,48.51553433,34.64158,-83.94225,0.925519,0.074481
RAP1334,RAP1334_monticola_B,monticola,monticola_A,GA,Dawson,Dawson Forest,site68,15.33618259,20.61041294,34.425533,-84.210871,0.905053,0.094947
RAP1361,RAP1361_monticola_C,cheaha,monticola_C,GA,Paulding,Raccoon Creek,site69,17.36861992,-77.39472482,33.935229,-84.970223,0.002245,0.997755
RAP1380,RAP1380_monticola_B,monticola,monticola_A,GA,Gilmer,Bear Creek tributary,site70,14.08319092,39.6386168,34.810494,-84.560547,0.638055,0.361945
RAP1383,RAP1383_monticola_B,monticola,monticola_A,GA,Murray,Bearpen Branch,site71,13.91254139,40.63006986,34.768974,-84.685241,0.518962,0.481038
RAP1427,RAP1427_monticola_B,monticola,monticola_B,VA,Smyth,Dry Branch,site73,10.79773712,354.6026108,36.700835,-81.620953,0.899271,0.100729
RAP1440,RAP1440_monticola_B,monticola,monticola_B,VA,Washington,Casey Branch,site74,12.45665646,343.711322,36.835937,-81.972226,0.981196,0.018804
RAP1451,RAP1451_monticola_B,monticola,monticola_B,VA,Washington,Tumbling Creek,site75,12.08040047,358.9560122,36.925,-81.839,0.9999,0.0001
